# pixel   wavemin    wavemax  wave              line
  835.49  5460.65386 5460.735 5460.69443        HgI 
  899.35  5944.72842 5944.834 5944.78121        NeI 
  925.32  6143.32686 6143.063 6143.19493        NeI 
  941.35  6266.37575 6266.495 6266.435375       NeI 
  950.18  6334.29081 6334.428 6334.359405       NeI 
  972.54  6506.80971 6506.528 6506.668855       NeI 
  984.46  6598.93704 6598.953 6598.94502        NeI 
  994.73  6678.51834 6678.276 6678.39717        NeI 
  999.74  6717.42974 6717.043 6717.23637        NeI 
  1027.0  6929.4096  6929.467 6929.4383         NeI 
  1040.15 7031.93067 7032.143 7032.036835       Null
  1058.28 7173.59106 7173.938 7173.76453        NeI 
  1067.39 7244.89464 7245.167 7245.03082        NeI 
  1092.1  7438.66381 7438.899 7438.781405       Null
  1117.11 7635.39098 7635.106 7635.24849        ArI 
  1128.37 7724.03755 7724.207 7724.122275       ArI 
  1192.63 8232.04807 8231.635 8231.841535       XeI 
  1198.62 8279.56035 8280.117 8279.838674999999 XeI 
  1210.99 8377.64773 8377.608 8377.627865       NeI 
  1225.89 8495.91811 8495.356 8495.637055       NeI 
  1237.88 8591.19947 8591.258 8591.228735       NeI 
  1266.62 8819.83451 8819.411 8819.622755       XeI 
  1283.18 8951.72484 8952.252 8951.988420000001 XeI 
  1294.94 9045.46914 9045.45  9045.459569999999 XeI 
  1309.64 9162.73978 9162.65  9162.694889999999 XeI 
  1389.17 9799.23507 9799.7   9799.467535       XeI 
  1404.65 9923.54307 9923.19  9923.366535000001 XeI 
