# ob_res_prog              doplot
  OB0001_R0300R_GTC54-15A0 true  
  OB0001_R2500I_GTC8-15ITP true  
  OB0002_R0300R_GTC54-15A0 true  
  OB0002_R2500I_GTC8-15ITP true  
  OB0003_R0300R_GTC54-15A0 true  
  OB0003_R2500I_GTC8-15ITP true  
  OB0004_R0300R_GTC54-15A0 false 
  OB0004_R2500I_GTC8-15ITP true  
  OB0005_R2500I_GTC54-15A0 true  
  OB0005_R2500I_GTC8-15ITP true  
  OB0006_R0300R_GTC54-15A0 true  
  OB0006_R2500I_GTC8-15ITP false 
  OB0007_R0300R_GTC54-15A0 true  
  OB0007_R2500I_GTC8-15ITP true  
  OB0008_R2500I_GTC54-15A0 true  
  OB0008_R2500I_GTC8-15ITP false 
  OB0009_R0300R_GTC54-15A0 true  
  OB0009_R2500I_GTC8-15ITP false 
  OB0010_R2500I_GTC54-15A0 true  
  OB0010_R2500I_GTC8-15ITP false 
  OB0011_R0300R_GTC54-15A0 true  
  OB0011_R2500I_GTC8-15ITP true  
  OB0012_R0300R_GTC54-15A0 false 
  OB0012_R2500I_GTC8-15ITP true  
  OB0013_R0300R_GTC54-15A0 true  
  OB0013_R2500I_GTC8-15ITP true  
  OB0014_R2500I_GTC54-15A0 true  
  OB0014_R2500I_GTC8-15ITP true  
  OB0015_R0300R_GTC54-15A0 true  
  OB0015_R2500I_GTC8-15ITP true  
  OB0016_R0300R_GTC54-15A0 true  
  OB0016_R2500I_GTC8-15ITP true  
  OB0017_R0300R_GTC54-15A0 true  
  OB0017_R2500I_GTC8-15ITP true  
  OB0018_R0300R_GTC54-15A0 false 
  OB0018_R2500I_GTC8-15ITP false 
  OB0019_R2500I_GTC54-15A0 false 
  OB0019_R2500I_GTC8-15ITP true  
  OB0020_R0300R_GTC54-15A0 true  
  OB0020_R2500I_GTC8-15ITP false 
  OB0021_R2500I_GTC54-15A0 true  
  OB0021_R2500I_GTC8-15ITP true  
  OB0022_R0300R_GTC54-15A0 false 
  OB0022_R2500I_GTC8-15ITP true  
  OB0023_R0300R_GTC54-15A0 true  
  OB0023_R2500I_GTC8-15ITP true  
  OB0024_R2500I_GTC54-15A0 true  
  OB0025_R0300R_GTC54-15A0 true  
  OB0025_R2500I_GTC8-15ITP true  
  OB0026_R2500I_GTC54-15A0 true  
  OB0026_R2500I_GTC8-15ITP true  
  OB0027_R0300R_GTC54-15A0 true  
  OB0027_R2500I_GTC8-15ITP true  
  OB0028_R2500I_GTC54-15A0 true  
  OB0029_R0300R_GTC54-15A0 true  
  OB0029_R2500I_GTC8-15ITP true  
  OB0030_R2500I_GTC54-15A0 true  
  OB0030_R2500I_GTC8-15ITP false 
  OB0031_R0300R_GTC54-15A0 true  
  OB0031_R2500I_GTC8-15ITP true  
  OB0032_R2500I_GTC54-15A0 true  
  OB0032_R2500I_GTC8-15ITP false 
  OB0033_R0300R_GTC54-15A0 true  
  OB0033_R2500I_GTC8-15ITP true  
  OB0034_R2500I_GTC54-15A0 true  
  OB0035_R0300R_GTC54-15A0 true  
  OB0035_R2500I_GTC8-15ITP true  
  OB0036_R2500I_GTC54-15A0 true  
  OB0036_R2500I_GTC8-15ITP false 
  OB0037_R0300R_GTC54-15A0 true  
  OB0037_R2500I_GTC8-15ITP true  
  OB0038_R0300R_GTC54-15A0 true  
  OB0039_R2500I_GTC54-15A0 true  
  OB0040_R0300R_GTC54-15A0 true  
  OB0040_R0300R_GTC8-15ITP false 
  OB0041_R0300R_GTC8-15ITP true  
  OB0041_R2500I_GTC54-15A0 true  
  OB0042_R0300R_GTC54-15A0 true  
  OB0043_R0300R_GTC8-15ITP true  
  OB0043_R2500I_GTC54-15A0 true  
  OB0044_R0300R_GTC54-15A0 true  
  OB0045_R2500I_GTC54-15A0 true  
  OB0046_R0300R_GTC54-15A0 true  
  OB0046_R0300R_GTC8-15ITP false 
  OB0047_R0300R_GTC8-15ITP false 
  OB0047_R2500I_GTC54-15A0 true  
  OB0048_R0300R_GTC54-15A0 true  
  OB0048_R0300R_GTC8-15ITP true  
  OB0049_R2500I_GTC54-15A0 true  
  OB0050_R0300R_GTC54-15A0 true  
  OB0050_R0300R_GTC8-15ITP true  
  OB0051_R2500I_GTC54-15A0 true  
  OB0052_R0300R_GTC54-15A0 true  
  OB0052_R0300R_GTC8-15ITP true  
  OB0053_R2500I_GTC54-15A0 true  
  OB0053_R2500I_GTC8-15ITP false 
  OB0054_R0300R_GTC54-15A0 true  
  OB0054_R2500I_GTC8-15ITP false 
  OB0055_R0300R_GTC8-15ITP false 
  OB0055_R2500I_GTC54-15A0 true  
  OB0058_R0300R_GTC8-15ITP true  
  OB0059_R0300R_GTC8-15ITP true  
  OB0060_R0300R_GTC8-15ITP true  
  OB0061_R0300R_GTC8-15ITP true  
  OB0062_R0300R_GTC8-15ITP true  
  OB0063_R0300R_GTC8-15ITP false 
  OB0064_R0300R_GTC8-15ITP true  
